GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hospitaladminmanagementsystem,adminmangementsystem.com.util,Validator,473,0,76,0,150,0,58,0,20,0
hospitaladminmanagementsystem,adminmangementsystem.com.service,AppointmentService,285,0,28,0,65,0,25,0,11,0
hospitaladminmanagementsystem,adminmangementsystem.com.service,PatientService,481,0,42,0,103,0,34,0,13,0
hospitaladminmanagementsystem,adminmangementsystem.com.service,DoctorService,702,0,50,0,128,0,42,0,17,0
hospitaladminmanagementsystem,adminmangementsystem.com.service,StaffService,296,0,30,0,61,0,26,0,11,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,MainController,104,0,14,0,42,0,14,0,2,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,AppointmentController,46,0,6,0,23,0,7,0,3,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,PharmacistController,403,0,30,0,101,0,28,0,9,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,DoctorController,61,0,9,0,29,0,10,0,3,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,CardiologistController,184,0,22,0,64,0,17,0,2,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,SurgeonController,246,0,33,0,84,0,24,0,3,0
hospitaladminmanagementsystem,adminmangementsystem.com.controller,PatientController,60,0,8,0,28,0,9,0,3,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,CardiologistView,55,0,0,0,12,0,2,0,2,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,SurgeonView,326,0,34,0,69,0,23,0,6,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,PatientView,227,0,22,0,48,0,18,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,AppointmentView,40,0,0,0,9,0,2,0,2,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,PharmacistView,171,0,4,0,43,0,10,0,8,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,DoctorView,304,0,44,0,65,0,30,0,8,0
hospitaladminmanagementsystem,adminmangementsystem.com.view,MenuView,295,0,0,0,68,0,7,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Admin,23,0,4,0,5,0,4,0,2,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Patient,201,0,42,0,46,0,35,0,14,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Staff,231,0,14,0,65,0,35,0,28,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Nurse,51,0,0,0,13,0,7,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Cardiologist,51,0,0,0,13,0,7,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Appointment,198,0,26,0,48,0,27,0,14,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Pharmacist,51,0,0,0,13,0,7,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Doctor,92,0,2,0,20,0,12,0,11,0
hospitaladminmanagementsystem,adminmangementsystem.com.entity,Surgeon,56,0,0,0,13,0,7,0,7,0
hospitaladminmanagementsystem,adminmangementsystem.com,App,118,0,7,0,36,0,6,0,2,0
